THE,the,the,320691,DET,det,True
OFFICER,OFFICER,officer,211608,PROPN,ROOT,False
WHO,who,who,365278,PRON,nsubj,True
MACED,MACED,maced,176691,PROPN,relcl,False
A,a,a,0,DET,det,True
YEAR,YEAR,year,146706,PROPN,compound,False
OLD,OLD,old,212002,PROPN,compound,False
GIRL,GIRL,girl,125519,PROPN,dobj,False
AND,and,and,12285,CCONJ,cc,True
COVERED,COVERED,covered,71485,PROPN,conj,False
HIS,his,his,141668,DET,poss,True
BADGE,BADGE,badge,26183,PROPN,dobj,False
SO,so,so,295959,ADV,advmod,True
PEOPLE,PEOPLE,people,230162,NOUN,compound,False
COULDNT,couldnt,couldnt,70515,NOUN,ROOT,False
REPORT,REPORT,report,268373,VERB,ROOT,False
HIM,him,him,139537,PRON,dobj,True
IS,be,be,29345,VERB,auxpass,True
NAMED,NAMED,named,196690,PROPN,ROOT,False
JARED,JARED,jared,160442,PROPN,compound,False
CAMPBELL,CAMPBELL,campbell,45825,PROPN,dobj,False
HIS,his,his,141668,DET,ROOT,True
THE,the,the,320691,DET,det,True
OFFICER,OFFICER,officer,211608,PROPN,ROOT,False
WHO,who,who,365278,PRON,nsubj,True
MACED,MACED,maced,176691,PROPN,relcl,False
A,a,a,0,DET,det,True
YEAR,YEAR,year,146706,PROPN,compound,False
OLD,OLD,old,212002,PROPN,compound,False
GIRL,GIRL,girl,125519,PROPN,dobj,False
AND,and,and,12285,CCONJ,cc,True
COVERED,COVERED,covered,71485,PROPN,conj,False
HIS,his,his,141668,DET,poss,True
BADGE,BADGE,badge,26183,PROPN,dobj,False
SO,so,so,295959,ADV,advmod,True
PEOPLE,PEOPLE,people,230162,NOUN,compound,False
COULDNT,couldnt,couldnt,70515,NOUN,ROOT,False
REPORT,REPORT,report,268373,VERB,ROOT,False
HIM,him,him,139537,PRON,dobj,True
IS,be,be,29345,VERB,auxpass,True
NAMED,NAMED,named,196690,PROPN,ROOT,False
JARED,JARED,jared,160442,PROPN,compound,False
CAMPBELL,CAMPBELL,campbell,45825,PROPN,dobj,False
HIS,his,his,141668,DET,ROOT,True
