ca,can,can,45964,VERB,aux,True
nt,not,not,208798,PART,neg,False
breathe,breathe,breathe,40324,VERB,ROOT,False
vs.,vs.,vs,361509,ADP,prep,False
do,do,do,90528,AUX,aux,True
nt,not,not,208798,PART,neg,False
want,want,want,362465,VERB,ROOT,False
to,to,to,324862,PART,aux,True
wear,wear,wear,363540,VERB,xcomp,False
a,a,a,0,DET,det,True
mask,mask,mask,180688,NOUN,dobj,False
ca,can,can,45964,VERB,aux,True
nt,not,not,208798,PART,neg,False
breathe,breathe,breathe,40324,VERB,ROOT,False
vs.,vs.,vs,361509,ADP,prep,False
do,do,do,90528,AUX,aux,True
nt,not,not,208798,PART,neg,False
want,want,want,362465,VERB,ROOT,False
to,to,to,324862,PART,aux,True
wear,wear,wear,363540,VERB,xcomp,False
a,a,a,0,DET,det,True
mask,mask,mask,180688,NOUN,dobj,False
