High,high,high,139224,ADJ,amod,False
retail,retail,retail,270250,ADJ,amod,False
inflation,inflation,inflation,152107,NOUN,nsubj,False
is,be,be,29345,AUX,ROOT,True
serious,serious,serious,286134,ADJ,amod,True
issue,issue,issue,159379,NOUN,attr,False
And,and,and,12285,CCONJ,cc,True
will,will,will,365768,VERB,aux,True
continue,continue,continue,67485,VERB,ROOT,False
to,to,to,324862,PART,aux,True
increase,increase,increase,150431,VERB,xcomp,False
untill,untill,untill,353023,NOUN,compound,False
interest,interest,interest,154892,NOUN,compound,False
rate,rate,rate,260983,NOUN,nsubjpass,False
is,be,be,29345,AUX,auxpass,True
raised,raise,raise,260134,VERB,conj,False
But,but,but,43550,CCONJ,cc,True
that,that,that,320639,DET,nsubj,True
will,will,will,365768,VERB,aux,True
be,be,be,29345,AUX,ROOT,True
ca,ca,ca,43830,VERB,acomp,True
High,high,high,139224,ADJ,amod,False
retail,retail,retail,270250,ADJ,amod,False
inflation,inflation,inflation,152107,NOUN,nsubj,False
is,be,be,29345,AUX,ROOT,True
serious,serious,serious,286134,ADJ,amod,True
issue,issue,issue,159379,NOUN,attr,False
And,and,and,12285,CCONJ,cc,True
will,will,will,365768,VERB,aux,True
continue,continue,continue,67485,VERB,ROOT,False
to,to,to,324862,PART,aux,True
increase,increase,increase,150431,VERB,xcomp,False
untill,untill,untill,353023,NOUN,compound,False
interest,interest,interest,154892,NOUN,compound,False
rate,rate,rate,260983,NOUN,nsubjpass,False
is,be,be,29345,AUX,auxpass,True
raised,raise,raise,260134,VERB,conj,False
But,but,but,43550,CCONJ,cc,True
that,that,that,320639,DET,nsubj,True
will,will,will,365768,VERB,aux,True
be,be,be,29345,AUX,ROOT,True
ca,ca,ca,43830,VERB,acomp,True
