Happy,Happy,happy,133513,PROPN,compound,False
Mothers,Mothers,mothers,193957,PROPN,compound,False
Day,Day,day,76257,PROPN,ROOT,False
to,to,to,324862,ADP,prep,True
All,all,all,8522,DET,pobj,True
of,of,of,211535,ADP,prep,True
Americas,Americas,americas,10317,PROPN,compound,False
Moms,Moms,moms,191672,PROPN,pobj,False
especially,especially,especially,104403,ADV,advmod,False
to,to,to,324862,ADP,prep,True
amazing,amazing,amazing,9904,ADJ,amod,False
mom,mom,mom,191625,NOUN,pobj,False
Nancy,Nancy,nancy,196718,PROPN,compound,False
Fritsch,Fritsch,frisch,119101,PROPN,appos,False
and,and,and,12285,CCONJ,cc,True
wonderful,wonderful,wonderful,367038,ADJ,amod,False
wife,wife,wife,365591,NOUN,conj,False
and,and,and,12285,CCONJ,cc,True
the,the,the,320691,DET,det,True
bes,be,be,29345,NOUN,conj,False
