minutes,minute,minute,188058,NOUN,compound,False
seconds,second,second,282753,NOUN,ROOT,False
Try,try,try,329065,VERB,ROOT,False
lying,lie,lie,171801,VERB,xcomp,False
still,still,still,304511,ADV,advmod,True
for,for,for,116301,ADP,prep,True
that,that,that,320639,DET,det,True
long,long,long,174883,ADJ,pobj,False
and,and,and,12285,CCONJ,cc,True
imagine,imagine,imagine,147602,VERB,conj,False
being,be,be,29345,AUX,auxpass,True
painfully,painfully,painfully,223144,ADV,advmod,False
pinned,pin,pin,236866,VERB,xcomp,False
under,under,under,338801,ADP,prep,True
a,a,a,0,DET,det,True
grown,grown,grown,130434,ADJ,amod,False
mans,mans,mans,179498,PROPN,compound,False
knee,knee,knee,165484,VERB,pobj,False
all,all,all,8522,DET,predet,True
the,the,the,320691,DET,det,True
while,while,while,364797,NOUN,npadvmod,True
