why,why,why,364728,ADV,advmod,True
are,be,be,29345,AUX,ROOT,True
nt,not,not,208798,PART,neg,False
cops,cop,cop,68392,NOUN,nsubj,False
afraid,afraid,afraid,5571,ADJ,acomp,False
of,of,of,211535,ADP,prep,True
gen,gen,gen,123394,PROPN,compound,False
z,z,z,368716,PROPN,pobj,False
like,like,like,172172,INTJ,intj,False
literally,literally,literally,173575,ADV,advmod,False
said,say,say,276740,VERB,ROOT,False
would,would,would,367745,VERB,aux,True
raid,raid,raid,260005,VERB,ccomp,False
area,area,area,19298,NOUN,dobj,False
bc,bc,abc,234,PROPN,dobj,False
ca,can,can,45964,VERB,aux,True
nt,not,not,208798,PART,neg,False
kill,kill,kill,164577,VERB,ccomp,False
all,all,all,8522,DET,appos,True
ate,eat,eat,94953,VERB,ROOT,False
TIDE,TIDE,tide,323311,PROPN,dobj,False
PODS,PODS,pods,241113,PROPN,dobj,False
