Somebodys,Somebodys,somebody,297030,PROPN,aux,False
not,not,not,208798,PART,neg,True
telling,tell,tell,318356,VERB,ROOT,False
the,the,the,320691,DET,det,True
truth,truth,truth,331721,NOUN,dobj,False
Lets,Lets,lets,170915,PROPN,nsubj,False
hope,hope,hope,143674,VERB,ROOT,False
John,John,john,161555,PROPN,compound,False
Durham,Durham,durham,94451,PROPN,nsubj,False
is,be,be,29345,AUX,aux,True
giving,give,give,125692,VERB,ccomp,False
James,James,james,160268,PROPN,compound,False
Comey,Comey,comedy,63728,PROPN,dobj,False
and,and,and,12285,CCONJ,cc,True
Andrew,Andrew,andrew,12357,PROPN,compound,False
McCabe,McCabe,maccabean,176675,PROPN,conj,False
another,another,another,13899,DET,det,True
look,look,look,175060,NOUN,dobj,False
