re,be,be,29345,VERB,aux,True
telling,tell,tell,318356,VERB,ROOT,False
felt,feel,feel,110884,VERB,aux,False
threatened,threaten,threaten,322591,VERB,ccomp,False
by,by,by,33133,ADP,agent,True
a,a,a,0,DET,det,True
yr,yr,yr,157863,NOUN,advmod,False
old,old,old,212002,ADJ,pobj,False
re,be,be,29345,VERB,aux,True
telling,tell,tell,318356,VERB,ROOT,False
felt,feel,feel,110884,VERB,aux,False
threatened,threaten,threaten,322591,VERB,ccomp,False
by,by,by,33133,ADP,agent,True
a,a,a,0,DET,det,True
yr,yr,yr,157863,NOUN,advmod,False
old,old,old,212002,ADJ,pobj,False
