am,be,be,29345,AUX,aux,True
looking,look,look,175060,VERB,ROOT,False
forward,forward,forward,117747,ADV,advmod,False
to,to,to,324862,ADP,prep,True
interviews,interview,interview,156185,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
Trump,trump,trump,331570,ADJ,compound,False
supporters,supporter,supporter,313031,NOUN,pobj,False
tomorrow,tomorrow,tomorrow,325475,NOUN,npadvmod,False
who,who,who,365278,PRON,nsubj,True
tell,tell,tell,318356,VERB,relcl,False
was,be,be,29345,AUX,ccomp,True
not,not,not,208798,PART,neg,True
actually,actually,actually,3298,ADV,advmod,False
degrees,degree,degree,79645,NOUN,attr,False
in,in,in,149313,ADP,prep,True
Washington,Washington,washington,362914,PROPN,compound,False
t,t,t,314735,PROPN,pobj,False
am,be,be,29345,AUX,aux,True
looking,look,look,175060,VERB,ROOT,False
forward,forward,forward,117747,ADV,advmod,False
to,to,to,324862,ADP,prep,True
interviews,interview,interview,156185,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
Trump,trump,trump,331570,ADJ,compound,False
supporters,supporter,supporter,313031,NOUN,pobj,False
tomorrow,tomorrow,tomorrow,325475,NOUN,npadvmod,False
who,who,who,365278,PRON,nsubj,True
tell,tell,tell,318356,VERB,relcl,False
was,be,be,29345,AUX,ccomp,True
not,not,not,208798,PART,neg,True
actually,actually,actually,3298,ADV,advmod,False
degrees,degree,degree,79645,NOUN,attr,False
in,in,in,149313,ADP,prep,True
Washington,Washington,washington,362914,PROPN,compound,False
t,t,t,314735,PROPN,pobj,False
