While,while,while,364797,SCONJ,mark,True
are,be,be,29345,AUX,aux,True
Praying,pray,pray,245225,VERB,advcl,False
for,for,for,116301,ADP,prep,True
Laura,Laura,laura,169187,PROPN,pobj,False
PLEASE,PLEASE,please,239622,PROPN,nsubj,True
pray,pray,pray,245225,VERB,ROOT,False
for,for,for,116301,ADP,prep,True
Christell,Christell,christabel,56112,PROPN,compound,False
Cadet,Cadet,cadet,44326,PROPN,pobj,False
is,be,be,29345,AUX,ROOT,True
a,a,a,0,DET,det,True
NYC,NYC,ny,199522,PROPN,attr,False
paramedic,paramedic,paramedic,225801,NOUN,amod,False
on,on,on,212644,ADP,prep,True
a,a,a,0,DET,det,True
ventilator,ventilator,ventilator,358173,NOUN,pobj,False
fighting,fight,fight,112433,VERB,acl,False
for,for,for,116301,ADP,prep,True
