Some,some,some,297029,DET,det,True
more,more,more,193383,ADV,amod,True
goodnews,goodnew,goodness,127908,NOUN,npadvmod,False
to,to,to,324862,PART,aux,True
share,share,share,287481,VERB,relcl,False
Isabel,Isabel,isabel,158527,PROPN,nsubj,False
from,from,from,119298,ADP,prep,True
class,class,class,59378,NOUN,pobj,False
has,have,have,134390,AUX,aux,True
come,come,come,63721,VERB,ROOT,False
st,st,st,302135,PROPN,compound,False
place,place,place,238538,VERB,attr,False
in,in,in,149313,ADP,prep,True
category,category,category,49530,NOUN,pobj,False
in,in,in,149313,ADP,prep,True
Lift,Lift,lift,171950,PROPN,pobj,False
the,the,the,320691,DET,det,True
Spirit,Spirit,spirit,300099,PROPN,appos,False
