More,More,more,193383,ADJ,amod,True
than,than,than,320565,SCONJ,quantmod,True
a,a,a,0,DET,quantmod,True
people,people,people,230162,NOUN,nsubj,False
attend,attend,attend,23005,VERB,ROOT,False
a,a,a,0,DET,det,True
rally,rally,rally,260212,NOUN,dobj,False
in,in,in,149313,ADP,prep,True
Hong,Hong,hong,143400,PROPN,compound,False
Kong,Kong,kong,165984,PROPN,pobj,False
to,to,to,324862,PART,aux,True
urge,urge,urge,355613,VERB,advcl,False
people,people,people,230162,NOUN,dobj,False
and,and,and,12285,CCONJ,cc,True
governments,government,government,128391,NOUN,conj,False
abroad,abroad,abroad,857,ADV,advmod,False
to,to,to,324862,PART,aux,True
support,support,support,313022,VERB,advcl,False
the,the,the,320691,DET,det,True
city,city,city,58633,NOUN,poss,False
's,'s,s,275971,PART,case,True
pro,pro,pro,250901,ADJ,dep,False
democracy,democracy,democracy,80714,ADJ,amod,False
m,m,m,176591,NOUN,dobj,False
More,More,more,193383,ADJ,amod,True
than,than,than,320565,SCONJ,quantmod,True
a,a,a,0,DET,quantmod,True
people,people,people,230162,NOUN,nsubj,False
attend,attend,attend,23005,VERB,ROOT,False
a,a,a,0,DET,det,True
rally,rally,rally,260212,NOUN,dobj,False
in,in,in,149313,ADP,prep,True
Hong,Hong,hong,143400,PROPN,compound,False
Kong,Kong,kong,165984,PROPN,pobj,False
to,to,to,324862,PART,aux,True
urge,urge,urge,355613,VERB,advcl,False
people,people,people,230162,NOUN,dobj,False
and,and,and,12285,CCONJ,cc,True
governments,government,government,128391,NOUN,conj,False
abroad,abroad,abroad,857,ADV,advmod,False
to,to,to,324862,PART,aux,True
support,support,support,313022,VERB,advcl,False
the,the,the,320691,DET,det,True
city,city,city,58633,NOUN,poss,False
's,'s,s,275971,PART,case,True
pro,pro,pro,250901,ADJ,dep,False
democracy,democracy,democracy,80714,ADJ,amod,False
m,m,m,176591,NOUN,dobj,False
