Happy,happy,happy,133513,ADJ,amod,False
birthday,birthday,birthday,34904,NOUN,nsubj,False
have,have,have,134390,AUX,ROOT,True
a,a,a,0,DET,det,True
great,great,great,129442,ADJ,amod,False
day,day,day,76257,NOUN,dobj,False
tried,try,try,329065,VERB,ROOT,False
but,but,but,43550,CCONJ,cc,True
wow,wow,wow,367775,INTJ,cc,False
the,the,the,320691,DET,det,True
dance,dance,dance,76674,NOUN,nsubj,False
is,be,be,29345,AUX,conj,True
fast,fast,fast,110179,ADJ,advmod,False
candywarner1,candywarner1,calendarer,45009,NOUN,compound,False
jrntr,jrntr,jnt,161414,PROPN,nmod,False
birthday,birthday,birthday,34904,NOUN,attr,False
fun,fun,fun,120110,NOUN,appos,False
da,da,da,75937,NOUN,ROOT,False
