Sambit,Sambit,ambit,10017,PROPN,compound,False
Patra,Patra,patera,227648,PROPN,nsubj,False
has,have,have,134390,AUX,aux,True
lost,lose,lose,175338,VERB,ROOT,False
mental,mental,mental,183495,ADJ,amod,False
balance,balance,balance,26679,NOUN,dobj,False
So,so,so,295959,ADV,advmod,True
is,be,be,29345,AUX,ROOT,True
necessary,necessary,necessary,197707,ADJ,acomp,False
to,to,to,324862,PART,aux,True
quarantine,quarantine,quarantine,257971,VERB,xcomp,False
for,for,for,116301,ADP,prep,True
few,few,few,111900,ADJ,amod,True
years,year,year,146706,NOUN,pobj,False
and,and,and,12285,CCONJ,cc,True
the,the,the,320691,DET,det,True
best,good,good,127869,ADJ,amod,False
place,place,place,238538,NOUN,nsubj,False
is,be,be,29345,AUX,conj,True
