Indian,indian,indian,150876,ADJ,amod,False
cinema,cinema,cinema,57652,NOUN,compound,False
gains,gain,gain,121008,VERB,compound,False
popularity,popularity,popularity,243308,NOUN,ROOT,False
in,in,in,149313,ADP,prep,True
Russia,Russia,russia,275823,PROPN,pobj,False
Look,look,look,175060,VERB,ROOT,False
what,what,what,364447,PRON,dobj,True
Russian,russian,russian,275824,ADJ,amod,False
TV,TV,tv,333139,PROPN,nsubj,False
is,be,be,29345,AUX,aux,True
broadcasting,broadcast,broadcast,41049,VERB,ccomp,False
right,right,right,272806,ADV,advmod,False
now,now,now,209199,ADV,advmod,True
the,the,the,320691,DET,det,True
Baahubali,Baahubali,bubalis,41914,PROPN,appos,False
with,with,with,366582,ADP,prep,True
Russian,russian,russian,275824,ADJ,amod,False
voi,voi,void,360999,NOUN,pobj,False
