latest,late,late,168810,ADJ,amod,False
kasi,kasi,kashi,163295,PROPN,compound,False
eon,eon,eon,101952,PROPN,compound,False
TurnThePage,TurnThePage,turntale,332880,PROPN,compound,False
AshLeaStory,AshLeaStory,aleatory,7804,PROPN,ROOT,False
