every,every,every,106158,DET,det,True
AITA,AITA,amita,10682,PROPN,compound,False
post,post,post,243900,VERB,ROOT,False
ever,ever,ever,106143,ADV,advmod,True
So,so,so,295959,ADV,advmod,True
boyfriend,boyfriend,boyfriend,37410,NOUN,nsubj,False
and,and,and,12285,CCONJ,cc,True
have,have,have,134390,AUX,aux,True
been,be,be,29345,AUX,ROOT,True
together,together,together,325095,ADV,advmod,True
months,month,month,192909,NOUN,npadvmod,False
and,and,and,12285,CCONJ,cc,True
insert,insert,insert,153552,VERB,conj,False
extremely,extremely,extremely,108713,ADV,advmod,False
control,control,control,67797,NOUN,dobj,False
