Still,still,still,304511,ADV,advmod,True
with,with,with,366582,ADP,prep,True
by,by,by,33133,ADP,prep,True
JK,JK,jak,160193,PROPN,pobj,False
has,have,have,134390,AUX,aux,True
broken,break,break,40228,VERB,ROOT,False
the,the,the,320691,DET,det,True
hs,hs,hs,144599,ADJ,compound,False
SoundCloud,SoundCloud,uncloud,337104,PROPN,compound,False
Record,Record,record,263489,PROPN,dobj,False
for,for,for,116301,ADP,prep,True
highest,high,high,139224,ADJ,amod,False
amount,amount,amount,10974,NOUN,pobj,True
of,of,of,211535,ADP,prep,True
likes,like,like,172172,VERB,pobj,False
only,only,only,212848,ADJ,advmod,True
hours,hour,hour,144367,NOUN,npadvmod,False
after,after,after,5615,ADP,prep,True
release,release,release,266810,NOUN,pobj,False
