Whoa,whoa,whoa,365279,INTJ,ROOT,False
Lancet,Lancet,lancet,167889,PROPN,nsubj,False
retracts,retract,retract,270625,VERB,ROOT,False
the,the,the,320691,DET,det,True
huge,huge,huge,144731,ADJ,amod,False
study,study,study,306798,NOUN,dobj,False
showing,show,show,289042,VERB,acl,False
that,that,that,320639,SCONJ,mark,True
chloroquinine,chloroquinine,chloroquine,55221,NOUN,nsubj,False
amp,amp,amp,10991,NOUN,conj,False
Hydroxychloroquine,Hydroxychloroquine,hydrochloride,138569,NOUN,nsubj,False
carry,carry,carry,48501,VERB,ccomp,False
a,a,a,0,DET,det,True
significant,significant,significant,290153,ADJ,amod,False
risk,risk,risk,273244,NOUN,dobj,False
of,of,of,211535,ADP,prep,True
death,death,death,77637,NOUN,compound,False
wit,wit,wit,366531,NOUN,pobj,False
