Thousands,thousand,thousand,322489,NOUN,nsubjpass,False
of,of,of,211535,ADP,prep,True
children,child,child,54285,NOUN,pobj,False
in,in,in,149313,ADP,prep,True
Hong,Hong,hong,143400,PROPN,compound,False
Kong,Kong,kong,165984,PROPN,pobj,False
have,have,have,134390,AUX,aux,True
been,be,be,29345,AUX,auxpass,True
removed,remove,remove,267487,VERB,ROOT,False
from,from,from,119298,ADP,prep,True
families,family,family,109591,NOUN,pobj,False
and,and,and,12285,CCONJ,cc,True
detained,detain,detain,83078,VERB,conj,False
in,in,in,149313,ADP,prep,True
internment,internment,internment,155510,NOUN,compound,False
camps,camp,camp,45775,NOUN,pobj,False
This,this,this,322217,DET,nsubj,True
is,be,be,29345,AUX,ROOT,True
how,how,how,144540,ADV,advmod,True
Commun,commun,communa,64212,ADJ,ccomp,False
